NAME,DOCK_SC,RMSD_LB,RMSD_UB,LABO_RMSD,HUNG_RMSD,SYMM_RMSD
SIM_1,-5.581,0.0,0.0,7.917,ERROR,ERROR
SIM_2,-5.401,8.165,10.004,3.665,ERROR,ERROR
SIM_3,-5.313,7.94,9.338,3.532,ERROR,ERROR
SIM_4,-5.243,9.333,10.299,2.939,ERROR,ERROR
SIM_5,-5.22,7.652,9.072,2.102,ERROR,ERROR
SIM_6,-5.218,7.428,9.316,4.121,ERROR,ERROR
SIM_7,-5.182,1.769,2.307,7.582,ERROR,ERROR
SIM_8,-5.074,10.33,11.569,5.644,ERROR,ERROR
SIM_9,-5.058,8.631,9.84,4.275,ERROR,ERROR
